Recipe(N=2, beta=0.1, alpha=0.3, S=(2,2)) | Acc=94.42%
Recipe(N=2, beta=0.1, alpha=0.3, S=(2,2)) | Acc=92.87%
Recipe(N=2, beta=0.1, alpha=0.3, S=(2,2)) | Acc=94.51%
Recipe(N=2, beta=0.2, alpha=0.3, S=(2,2)) | Acc=92.98%
Recipe(N=2, beta=0.2, alpha=0.3, S=(2,2)) | Acc=92.38%
Recipe(N=2, beta=0.2, alpha=0.3, S=(2,2)) | Acc=92.74%
Recipe(N=2, beta=0.3, alpha=0.3, S=(2,2)) | Acc=92.77%
Recipe(N=2, beta=0.3, alpha=0.3, S=(2,2)) | Acc=92.81%
Recipe(N=2, beta=0.3, alpha=0.3, S=(2,2)) | Acc=93.66%
Recipe(N=2, beta=0.4, alpha=0.3, S=(2,2)) | Acc=92.34%
Recipe(N=2, beta=0.4, alpha=0.3, S=(2,2)) | Acc=93.22%
Recipe(N=2, beta=0.4, alpha=0.3, S=(2,2)) | Acc=92.34%
Recipe(N=2, beta=0.5, alpha=0.3, S=(2,2)) | Acc=93.13%
Recipe(N=2, beta=0.5, alpha=0.3, S=(2,2)) | Acc=93.58%
Recipe(N=2, beta=0.5, alpha=0.3, S=(2,2)) | Acc=93.58%
Recipe(N=2, beta=0.6, alpha=0.3, S=(2,2)) | Acc=93.59%
Recipe(N=2, beta=0.6, alpha=0.3, S=(2,2)) | Acc=93.17%
Recipe(N=2, beta=0.6, alpha=0.3, S=(2,2)) | Acc=92.86%
Recipe(N=2, beta=0.7, alpha=0.3, S=(2,2)) | Acc=92.85%
Recipe(N=2, beta=0.7, alpha=0.3, S=(2,2)) | Acc=93.02%
Recipe(N=2, beta=0.7, alpha=0.3, S=(2,2)) | Acc=93.07%
Recipe(N=2, beta=0.8, alpha=0.3, S=(2,2)) | Acc=93.23%
Recipe(N=2, beta=0.8, alpha=0.3, S=(2,2)) | Acc=93.01%
Recipe(N=2, beta=0.8, alpha=0.3, S=(2,2)) | Acc=93.91%
Recipe(N=2, beta=0.9, alpha=0.3, S=(2,2)) | Acc=92.14%
Recipe(N=2, beta=0.9, alpha=0.3, S=(2,2)) | Acc=92.50%
Recipe(N=2, beta=0.9, alpha=0.3, S=(2,2)) | Acc=94.16%
